id,elevation,capture_time,file_name,Y,X,Z,time
338,858.4000244,2019-04-27T01:31:52.000Z,activity_3593740764.gpx,5481473.093,473996.8484,858.4000244,1556328712000
339,858.7999878,2019-04-27T01:31:53.000Z,activity_3593740764.gpx,5481473.381,473997.0986,858.7999878,1556328713000
340,859.2000122,2019-04-27T01:31:54.000Z,activity_3593740764.gpx,5481473.984,473997.6054,859.2000122,1556328714000
341,859.4000244,2019-04-27T01:31:55.000Z,activity_3593740764.gpx,5481474.8,473998.5807,859.4000244,1556328715000
342,859.4000244,2019-04-27T01:31:56.000Z,activity_3593740764.gpx,5481475.691,473999.186,859.4000244,1556328716000
343,859.5999756,2019-04-27T01:31:57.000Z,activity_3593740764.gpx,5481477.064,474000.5281,859.5999756,1556328717000
344,859.5999756,2019-04-27T01:31:59.000Z,activity_3593740764.gpx,5481480.626,474003.9449,859.5999756,1556328719000
345,859.5999756,2019-04-27T01:32:00.000Z,activity_3593740764.gpx,5481482.286,474005.7741,859.5999756,1556328720000
346,859.7999878,2019-04-27T01:32:02.000Z,activity_3593740764.gpx,5481484.257,474008.6672,859.7999878,1556328722000
347,860.2000122,2019-04-27T01:32:06.000Z,activity_3593740764.gpx,5481489.266,474013.4933,860.2000122,1556328726000
348,860.5999756,2019-04-27T01:32:10.000Z,activity_3593740764.gpx,5481493.903,474018.1901,860.5999756,1556328730000
349,861,2019-04-27T01:32:12.000Z,activity_3593740764.gpx,5481495.787,474019.8625,861,1556328732000
350,861.4000244,2019-04-27T01:32:14.000Z,activity_3593740764.gpx,5481498.121,474020.8935,861.4000244,1556328734000
351,861.4000244,2019-04-27T01:32:15.000Z,activity_3593740764.gpx,5481499.583,474021.1191,861.4000244,1556328735000
352,861.5999756,2019-04-27T01:32:20.000Z,activity_3593740764.gpx,5481506.533,474025.2926,861.5999756,1556328740000
353,862.2000122,2019-04-27T01:32:23.000Z,activity_3593740764.gpx,5481503.419,474027.7183,862.2000122,1556328743000
354,862.5999756,2019-04-27T01:32:24.000Z,activity_3593740764.gpx,5481501.881,474027.6442,862.5999756,1556328744000
355,863.4000244,2019-04-27T01:32:30.000Z,activity_3593740764.gpx,5481493.288,474025.9338,863.4000244,1556328750000
356,864.5999756,2019-04-27T01:32:37.000Z,activity_3593740764.gpx,5481483.288,474026.0987,864.5999756,1556328757000
357,865.2000122,2019-04-27T01:32:38.000Z,activity_3593740764.gpx,5481481.992,474026.2443,865.2000122,1556328758000
358,865.7999878,2019-04-27T01:32:41.000Z,activity_3593740764.gpx,5481479.095,474026.1516,865.7999878,1556328761000
359,866,2019-04-27T01:32:44.000Z,activity_3593740764.gpx,5481475.467,474024.7623,866,1556328764000
360,866.5999756,2019-04-27T01:32:48.000Z,activity_3593740764.gpx,5481472.798,474025.5267,866.5999756,1556328768000
361,866.7999878,2019-04-27T01:32:50.000Z,activity_3593740764.gpx,5481473.412,474027.7334,866.7999878,1556328770000
362,867.2000122,2019-04-27T01:32:54.000Z,activity_3593740764.gpx,5481477.839,474031.5549,867.2000122,1556328774000
363,867.5999756,2019-04-27T01:32:57.000Z,activity_3593740764.gpx,5481482.03,474034.1126,867.5999756,1556328777000
364,867.7999878,2019-04-27T01:32:58.000Z,activity_3593740764.gpx,5481483.443,474034.8417,867.7999878,1556328778000
365,868.7999878,2019-04-27T01:33:04.000Z,activity_3593740764.gpx,5481491.303,474039.651,868.7999878,1556328784000
